id_anuncio,url,titulo,precio,superficie_m2,habitaciones,zona_scraping
364d9c2b161e,https://www.pisos.com/comprar/piso-el_nido_las_fuentes-60840465954_100200/,Piso en El Nido-Las Fuentes,229900.0,80.0,2.0,Parla
f21b37aeb1ca,https://www.pisos.com/comprar/piso-reyes28982-60889884183_100200/,Piso en Reyes,195000.0,86.0,3.0,Parla
818aeeae014c,https://www.pisos.com/comprar/piso-reyes28982-60897135847_100200/,Piso en Reyes,214600.0,86.0,3.0,Parla
ced762751e1c,https://www.pisos.com/comprar/piso-villayuventus_renfe28981-60844755348_100500/,Piso en Parla,194500.0,84.0,3.0,Parla
b13f0d59bc3a,https://www.pisos.com/comprar/piso-reyes28982-60914419730_100200/,Piso en Reyes,195000.0,91.0,3.0,Parla
5ed021599f3b,https://www.pisos.com/comprar/piso-las_americas28983-60000224061_106500/,Piso en Las Américas,259000.0,123.0,3.0,Parla
b1a57ed6f0fe,https://www.pisos.com/comprar/piso-villayuventus_renfe28981-60048151010_100500/,Piso en calle de Getafe,130000.0,79.0,3.0,Parla
d2ddac6fab84,https://www.pisos.com/comprar/casa_adosada-parla_este28983-60049324669_100500/,Casa adosada en calle de Géminis,360000.0,300.0,4.0,Parla
6c2d75fee07d,https://www.pisos.com/comprar/piso-parque_inlasa28981-60086666839_100500/,Piso en calle del Río Jordán,128800.0,80.0,,Parla
3ec69c3a685e,https://www.pisos.com/comprar/casa-laguna_park28981-60055923686_100500/,Casa en calle de las Lagunas de Ruidera,,161.0,3.0,Parla
